date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:19:37	247818/247818	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Oct%202021%2007:49:26%20GMT	https://mobile-tracker-free.com/call-recorder/	F:/MTF/mobile-tracker-free.com/call-recorder/index.html	(from https://mobile-tracker-free.com/)
13:19:37	86927/86927	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec4-1538f%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.3.1/jquery.min.js	F:/MTF/cdnjs.cloudflare.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from https://mobile-tracker-free.com/)
13:19:37	258576/258576	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Oct%202021%2007:49:26%20GMT	https://mobile-tracker-free.com/terms/	F:/MTF/mobile-tracker-free.com/terms/index.html	(from https://mobile-tracker-free.com/)
13:19:37	244961/244961	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Oct%202021%2007:49:26%20GMT	https://mobile-tracker-free.com/privacy-policy/	F:/MTF/mobile-tracker-free.com/privacy-policy/index.html	(from https://mobile-tracker-free.com/)
13:19:37	70966/70966	---M-Z	200	added ('OK')	application/javascript	etag:%225eb04010-11536%22	https://cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/4.1.3/js/bootstrap.bundle.min.js	F:/MTF/cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/4.1.3/js/bootstrap.bundle.min.js	(from https://mobile-tracker-free.com/)
13:19:38	242703/242703	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Oct%202021%2007:49:26%20GMT	https://mobile-tracker-free.com/refund-policy/	F:/MTF/mobile-tracker-free.com/refund-policy/index.html	(from https://mobile-tracker-free.com/)
13:19:38	110419/110419	---M-Z	200	added ('OK')	application/javascript	etag:%221af53-5815d059a3698-gzip%22	https://mobile-tracker-free.com/plugins/rs-plugin-5/js/jquery.themepunch.tools.min.js	F:/MTF/mobile-tracker-free.com/plugins/rs-plugin-5/js/jquery.themepunch.tools.min.js	(from https://mobile-tracker-free.com/)
13:19:38	242771/242771	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Oct%202021%2007:49:27%20GMT	https://mobile-tracker-free.com/cookies-policy/	F:/MTF/mobile-tracker-free.com/cookies-policy/index.html	(from https://mobile-tracker-free.com/)
13:19:38	64990/64990	---M-Z	200	added ('OK')	application/javascript	etag:%22fdde-581a33fd0de46-gzip%22	https://mobile-tracker-free.com/plugins/rs-plugin-5/js/jquery.themepunch.revolution.min.js	F:/MTF/mobile-tracker-free.com/plugins/rs-plugin-5/js/jquery.themepunch.revolution.min.js	(from https://mobile-tracker-free.com/)
13:19:39	5742/5742	---MCZ	200	added ('OK')	application/javascript	etag:W/%22268c-5815d0599e879-gzip%22	https://mobile-tracker-free.com/js/cookiesEU/cookieconsent.js	F:/MTF/mobile-tracker-free.com/js/cookiesEU/cookieconsent.js	(from https://mobile-tracker-free.com/)
13:19:39	12136/12136	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%222f68-581a33fd0cea6%22	https://mobile-tracker-free.com/plugins/rs-plugin-5/fonts/revicons/revicons.eot?5510888	F:/MTF/mobile-tracker-free.com/plugins/rs-plugin-5/fonts/revicons/revicons90c6.eot	(from https://mobile-tracker-free.com/plugins/rs-plugin-5/css/settings.css)
13:19:39	7536/7536	---MCZ	200	added ('OK')	application/font-woff	etag:W/%221d70-581a33fd0de46%22	https://mobile-tracker-free.com/plugins/rs-plugin-5/fonts/revicons/revicons.woff?5510888	F:/MTF/mobile-tracker-free.com/plugins/rs-plugin-5/fonts/revicons/revicons90c6.woff	(from https://mobile-tracker-free.com/plugins/rs-plugin-5/css/settings.css)
13:19:39	11968/11968	---MCZ	200	added ('OK')	application/font-sfnt	etag:W/%222ec0-5815d059a26f9%22	https://mobile-tracker-free.com/plugins/rs-plugin-5/fonts/revicons/revicons.ttf?5510888	F:/MTF/mobile-tracker-free.com/plugins/rs-plugin-5/fonts/revicons/revicons90c6.ttf	(from https://mobile-tracker-free.com/plugins/rs-plugin-5/css/settings.css)
